VS,GFA,GAA,GFH,GAH,Date
Dallas Stars,2,0,,,Sat Sep 22 2018
Dallas Stars,2,0,,,Sat Sep 22 2018
Dallas Stars,5,0,,,Sat Sep 22 2018
Dallas Stars,5,0,,,Sat Sep 22 2018
Dallas Stars,5,0,,,Sat Sep 22 2018
Dallas Stars,5,0,,,Sat Sep 22 2018
AVERAGES,4,0,,,
