VS,GFA,GAA,GFH,GAH,Date
Montreal Canadiens,6,4,,,Sat Sep 22 2018
Montreal Canadiens,6,4,,,Sat Sep 22 2018
Montreal Canadiens,1,0,,,Sat Sep 22 2018
Montreal Canadiens,1,0,,,Sat Sep 22 2018
Montreal Canadiens,1,0,,,Sat Sep 22 2018
Montreal Canadiens,1,0,,,Sat Sep 22 2018
AVERAGES,2.66667,1.33333,,,
