VS,GFA,GAA,GFH,GAH,Date
Minnesota Wild,,,2,6,Sat Sep 22 2018
Minnesota Wild,,,2,6,Sat Sep 22 2018
Minnesota Wild,,,7,1,Sat Sep 22 2018
Minnesota Wild,,,7,1,Sat Sep 22 2018
Minnesota Wild,,,7,1,Sat Sep 22 2018
Minnesota Wild,,,7,1,Sat Sep 22 2018
AVERAGES,,,5.33333,2.66667,
