VS,GFA,GAA,GFH,GAH,Date
Florida Panthers,5,4,,,Sat Sep 22 2018
Florida Panthers,5,4,,,Sat Sep 22 2018
Florida Panthers,2,2,,,Sat Sep 22 2018
Florida Panthers,2,2,,,Sat Sep 22 2018
Florida Panthers,2,2,,,Sat Sep 22 2018
Florida Panthers,2,2,,,Sat Sep 22 2018
AVERAGES,3,2.66667,,,
