VS,GFA,GAA,GFH,GAH,Date
Colorado Avalanche,2,1,,,Sat Sep 22 2018
Colorado Avalanche,2,1,,,Sat Sep 22 2018
Colorado Avalanche,6,5,,,Sat Sep 22 2018
Colorado Avalanche,6,5,,,Sat Sep 22 2018
Colorado Avalanche,6,5,,,Sat Sep 22 2018
Colorado Avalanche,6,5,,,Sat Sep 22 2018
AVERAGES,4.66667,3.66667,,,
